[节点分类]
[数据集 dataset=Cora]
[卷积块个数 blocks=2]
[DropEdge概率 dropedge=0.1]
[是否使用PairNorm norm=True]
[是否添加自环 selfloop=True]
[激活函数 act=ReLU()]

Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708])
【开始训练】
[epoch=49/300, train_loss=0.367127,train_acc=1.000000, verify_loss=1.747419,verify_acc=0.392000, time=0.126040 秒]
[epoch=50/300, train_loss=0.352373,train_acc=1.000000, verify_loss=1.758887,verify_acc=0.388000, time=0.127932 秒]
[epoch=51/300, train_loss=0.346486,train_acc=1.000000, verify_loss=1.755091,verify_acc=0.368000, time=0.125651 秒]
[epoch=52/300, train_loss=0.347377,train_acc=1.000000, verify_loss=1.760678,verify_acc=0.364000, time=0.137625 秒]
[epoch=53/300, train_loss=0.339835,train_acc=1.000000, verify_loss=1.762634,verify_acc=0.362000, time=0.130568 秒]
[epoch=54/300, train_loss=0.344852,train_acc=1.000000, verify_loss=1.763717,verify_acc=0.370000, time=0.122932 秒]
[epoch=55/300, train_loss=0.334279,train_acc=1.000000, verify_loss=1.756180,verify_acc=0.376000, time=0.143602 秒]
[epoch=56/300, train_loss=0.331930,train_acc=1.000000, verify_loss=1.764935,verify_acc=0.378000, time=0.133952 秒]
[epoch=57/300, train_loss=0.327201,train_acc=1.000000, verify_loss=1.762724,verify_acc=0.390000, time=0.142314 秒]
[epoch=58/300, train_loss=0.335641,train_acc=1.000000, verify_loss=1.767983,verify_acc=0.378000, time=0.124389 秒]
[epoch=59/300, train_loss=0.339973,train_acc=1.000000, verify_loss=1.773760,verify_acc=0.382000, time=0.126040 秒]
[epoch=60/300, train_loss=0.330502,train_acc=1.000000, verify_loss=1.771063,verify_acc=0.384000, time=0.143718 秒]
[epoch=61/300, train_loss=0.324119,train_acc=1.000000, verify_loss=1.776892,verify_acc=0.378000, time=0.153337 秒]
[epoch=62/300, train_loss=0.330594,train_acc=1.000000, verify_loss=1.770871,verify_acc=0.376000, time=0.125468 秒]
[epoch=63/300, train_loss=0.329835,train_acc=1.000000, verify_loss=1.767281,verify_acc=0.386000, time=0.157762 秒]
[epoch=64/300, train_loss=0.320327,train_acc=1.000000, verify_loss=1.766323,verify_acc=0.384000, time=0.162419 秒]
[epoch=65/300, train_loss=0.319369,train_acc=1.000000, verify_loss=1.770618,verify_acc=0.380000, time=0.133245 秒]
[epoch=66/300, train_loss=0.323006,train_acc=1.000000, verify_loss=1.767406,verify_acc=0.382000, time=0.127677 秒]
[epoch=67/300, train_loss=0.302634,train_acc=1.000000, verify_loss=1.769236,verify_acc=0.370000, time=0.214031 秒]
[epoch=68/300, train_loss=0.309489,train_acc=1.000000, verify_loss=1.779720,verify_acc=0.352000, time=0.192762 秒]
[epoch=69/300, train_loss=0.307857,train_acc=1.000000, verify_loss=1.773014,verify_acc=0.372000, time=0.177624 秒]
[epoch=70/300, train_loss=0.320433,train_acc=1.000000, verify_loss=1.767253,verify_acc=0.370000, time=0.143238 秒]
[epoch=71/300, train_loss=0.308416,train_acc=1.000000, verify_loss=1.769240,verify_acc=0.378000, time=0.137850 秒]
[epoch=72/300, train_loss=0.305158,train_acc=1.000000, verify_loss=1.770027,verify_acc=0.370000, time=0.142125 秒]
