[节点分类]
[数据集 dataset=Citeseer]
[卷积块个数 blocks=2]
[DropEdge概率 dropedge=0.1]
[是否使用PairNorm norm=True]
[是否添加自环 selfloop=True]
[激活函数 act=ReLU()]

Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.test.index
Processing...
Done!
Data(x=[3327, 3703], edge_index=[2, 9104], y=[3327], train_mask=[3327], val_mask=[3327], test_mask=[3327])
【开始训练】
[epoch=44/300, train_loss=0.172879,train_acc=1.000000, verify_loss=1.700519,verify_acc=0.308000, time=0.283075 秒]
[epoch=45/300, train_loss=0.165653,train_acc=1.000000, verify_loss=1.704311,verify_acc=0.298000, time=0.302535 秒]
[epoch=46/300, train_loss=0.174575,train_acc=1.000000, verify_loss=1.710429,verify_acc=0.296000, time=0.300632 秒]
[epoch=47/300, train_loss=0.165550,train_acc=1.000000, verify_loss=1.711125,verify_acc=0.288000, time=0.265523 秒]
[epoch=48/300, train_loss=0.168858,train_acc=1.000000, verify_loss=1.711508,verify_acc=0.290000, time=0.291322 秒]
[epoch=49/300, train_loss=0.170911,train_acc=1.000000, verify_loss=1.708961,verify_acc=0.296000, time=0.313221 秒]
[epoch=50/300, train_loss=0.161638,train_acc=1.000000, verify_loss=1.710186,verify_acc=0.294000, time=0.310208 秒]
[epoch=51/300, train_loss=0.163208,train_acc=1.000000, verify_loss=1.715027,verify_acc=0.288000, time=0.271595 秒]
[epoch=52/300, train_loss=0.166632,train_acc=1.000000, verify_loss=1.711622,verify_acc=0.298000, time=0.288166 秒]
[epoch=53/300, train_loss=0.156053,train_acc=1.000000, verify_loss=1.712251,verify_acc=0.296000, time=0.255503 秒]
[epoch=54/300, train_loss=0.158486,train_acc=1.000000, verify_loss=1.708024,verify_acc=0.298000, time=0.258232 秒]
[epoch=55/300, train_loss=0.163595,train_acc=1.000000, verify_loss=1.716301,verify_acc=0.312000, time=0.285793 秒]
[epoch=56/300, train_loss=0.170772,train_acc=1.000000, verify_loss=1.716538,verify_acc=0.294000, time=0.254379 秒]
[epoch=57/300, train_loss=0.161024,train_acc=1.000000, verify_loss=1.715010,verify_acc=0.288000, time=0.281451 秒]
[epoch=58/300, train_loss=0.161105,train_acc=1.000000, verify_loss=1.720189,verify_acc=0.284000, time=0.304107 秒]
[epoch=59/300, train_loss=0.145273,train_acc=1.000000, verify_loss=1.719181,verify_acc=0.286000, time=0.276915 秒]
[epoch=60/300, train_loss=0.155792,train_acc=1.000000, verify_loss=1.719930,verify_acc=0.282000, time=0.288068 秒]
[epoch=61/300, train_loss=0.160757,train_acc=1.000000, verify_loss=1.717611,verify_acc=0.290000, time=0.293176 秒]
[epoch=62/300, train_loss=0.152063,train_acc=1.000000, verify_loss=1.708186,verify_acc=0.306000, time=0.272712 秒]
[epoch=63/300, train_loss=0.149877,train_acc=1.000000, verify_loss=1.710624,verify_acc=0.320000, time=0.292985 秒]
[epoch=64/300, train_loss=0.151253,train_acc=1.000000, verify_loss=1.707950,verify_acc=0.314000, time=0.266752 秒]
[epoch=65/300, train_loss=0.158602,train_acc=1.000000, verify_loss=1.707998,verify_acc=0.302000, time=0.297560 秒]
[epoch=66/300, train_loss=0.152168,train_acc=1.000000, verify_loss=1.710631,verify_acc=0.290000, time=0.287614 秒]
[epoch=67/300, train_loss=0.146998,train_acc=1.000000, verify_loss=1.718092,verify_acc=0.306000, time=0.305744 秒]
[epoch=68/300, train_loss=0.147997,train_acc=1.000000, verify_loss=1.717592,verify_acc=0.312000, time=0.315778 秒]
[epoch=69/300, train_loss=0.155401,train_acc=1.000000, verify_loss=1.711937,verify_acc=0.318000, time=0.279876 秒]
[epoch=70/300, train_loss=0.145735,train_acc=1.000000, verify_loss=1.723540,verify_acc=0.310000, time=0.290007 秒]
[epoch=71/300, train_loss=0.153800,train_acc=1.000000, verify_loss=1.724087,verify_acc=0.300000, time=0.255558 秒]
[epoch=72/300, train_loss=0.146834,train_acc=1.000000, verify_loss=1.722547,verify_acc=0.296000, time=0.266507 秒]
[epoch=73/300, train_loss=0.145502,train_acc=1.000000, verify_loss=1.721853,verify_acc=0.286000, time=0.339637 秒]
[epoch=74/300, train_loss=0.141324,train_acc=1.000000, verify_loss=1.724325,verify_acc=0.276000, time=0.335159 秒]
[epoch=75/300, train_loss=0.140124,train_acc=1.000000, verify_loss=1.729598,verify_acc=0.258000, time=0.372258 秒]
[epoch=76/300, train_loss=0.143460,train_acc=1.000000, verify_loss=1.726174,verify_acc=0.250000, time=0.328606 秒]
